HalfHourInterval,RegionID,Percentile,Value
26/06/2025 8:30,VIC1,P75,17500
26/06/2025 8:30,VIC1,P25,17499.97
26/06/2025 8:30,VIC1,P90,17500
26/06/2025 8:30,VIC1,P10,17499.96017
26/06/2025 8:30,VIC1,P95,17500
26/06/2025 8:30,VIC1,P5,3514.75896
26/06/2025 8:30,VIC1,P50,17500
26/06/2025 9:00,VIC1,P75,17499.96017
26/06/2025 9:00,VIC1,P25,10132.55425
26/06/2025 9:00,VIC1,P90,17499.98
26/06/2025 9:00,VIC1,P10,8631.34156
26/06/2025 9:00,VIC1,P95,17500
26/06/2025 9:00,VIC1,P5,887.77226
26/06/2025 9:00,VIC1,P50,17499.93
26/06/2025 9:30,VIC1,P75,1222.16841
26/06/2025 9:30,VIC1,P25,891.48993
26/06/2025 9:30,VIC1,P90,3403.82857
26/06/2025 9:30,VIC1,P10,890.32679
26/06/2025 9:30,VIC1,P95,17499.94
26/06/2025 9:30,VIC1,P5,600.82
26/06/2025 9:30,VIC1,P50,956.65448
26/06/2025 10:00,VIC1,P75,897.77232
26/06/2025 10:00,VIC1,P25,600.82
26/06/2025 10:00,VIC1,P90,897.77232
26/06/2025 10:00,VIC1,P10,532.86084
26/06/2025 10:00,VIC1,P95,1294.90003
26/06/2025 10:00,VIC1,P5,505.61683
26/06/2025 10:00,VIC1,P50,752.9847
26/06/2025 10:30,VIC1,P75,675.58079
26/06/2025 10:30,VIC1,P25,633.86703
26/06/2025 10:30,VIC1,P90,896.27504
26/06/2025 10:30,VIC1,P10,599.48
26/06/2025 10:30,VIC1,P95,1592.69616
26/06/2025 10:30,VIC1,P5,521.30423
26/06/2025 10:30,VIC1,P50,647.24485
26/06/2025 11:00,VIC1,P75,638.92826
26/06/2025 11:00,VIC1,P25,613.96132
26/06/2025 11:00,VIC1,P90,652.22204
26/06/2025 11:00,VIC1,P10,600.47
26/06/2025 11:00,VIC1,P95,895.47633
26/06/2025 11:00,VIC1,P5,520.54756
26/06/2025 11:00,VIC1,P50,627.29431
26/06/2025 11:30,VIC1,P75,632.29223
26/06/2025 11:30,VIC1,P25,600.82
26/06/2025 11:30,VIC1,P90,643.92673
26/06/2025 11:30,VIC1,P10,525.22921
26/06/2025 11:30,VIC1,P95,691.19
26/06/2025 11:30,VIC1,P5,516.48021
26/06/2025 11:30,VIC1,P50,618.93768
26/06/2025 12:00,VIC1,P75,625.63536
26/06/2025 12:00,VIC1,P25,525.81807
26/06/2025 12:00,VIC1,P90,638.92826
26/06/2025 12:00,VIC1,P10,522.8667
26/06/2025 12:00,VIC1,P95,691.19
26/06/2025 12:00,VIC1,P5,332.57846
26/06/2025 12:00,VIC1,P50,600.82
26/06/2025 12:30,VIC1,P75,600.82
26/06/2025 12:30,VIC1,P25,522.88972
26/06/2025 12:30,VIC1,P90,628.95326
26/06/2025 12:30,VIC1,P10,519.96751
26/06/2025 12:30,VIC1,P95,691.19
26/06/2025 12:30,VIC1,P5,301
26/06/2025 12:30,VIC1,P50,525.84133
26/06/2025 13:00,VIC1,P75,525.8494
26/06/2025 13:00,VIC1,P25,519.97543
26/06/2025 13:00,VIC1,P90,622.25525
26/06/2025 13:00,VIC1,P10,517.08211
