Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID
LMS Energy Pty Ltd,Eastern Creek 2 Gas Utilisation Facility,NSW1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Jun,Y,EASTCRK2
EDL LFG (NSW) Pty Ltd,Eastern Creek LFG PS Units 1-4,NSW1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Apr,N,EASTCRK
Edenvale Solar Park Pty Ltd,Edenvale Solar Park,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-72,Y,EDENVSF1
AGL Hydro Partnership,Eildon Power Station,VIC1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,Y,EILDON1
AGL Hydro Partnership,Eildon Power Station,VIC1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,3-Apr,Y,EILDON2
Pacific Hydro Investments Pty Ltd,Eildon Power Station,VIC1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,N,EILDON3
Lal Lal Wind Farms Nom Co Pty Ltd,Elaine Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-22,Y,ELAINWF1
Telstra Energy (Generation) Pty Ltd,Emerald Solar Park,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-32,N,EMERASF1
EnergyAustralia Pty Ltd,Darlington Point Energy Storage System,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-16,Y,DPNTB1
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,Y,ER01
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,Y,ER02
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,Y,ER03
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,Y,ER04
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1,N,ERGT01
Diamond Energy Pty Ltd,Ferguson North Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1,N,FNWF1
Y.E.S. Energy (SA) Pty Ltd,Ferguson South Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,2,N,FSWF1
Finley Solar Farm Pty Ltd as trustee for the Finley Solar Trust,Finley Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar ,Renewable,Photovoltaic Tracking Flat Panel,99,Y,FINLYSF1
Hydro-Electric Corporation,Fisher Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,Y,FISHER
Iberdrola Australia Energy Markets Pty Limited,Flyers Creek Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-38,N,FLYCRKWF
Shell New Energies Australia Pty Ltd,Gangarri Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-54,Y,GANGARR1
EnergyAustralia Pty Ltd,Gannawarra Energy Storage System,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,Jan-50,Y,GANNB1
Gannawarra Solar Farm Pty Ltd,Gannawarra Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-22,Y,GANNSF1
EDL CSM (QLD) Pty Ltd,German Creek Power Station,QLD1,Generating Unit,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,Jan-20,N,GERMCRK
Enel Energy Australia Pty Ltd,Girgarre Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-57,Y,GIRGSF
CS Energy Limited,Gladstone Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,Y,GSTONE1
CS Energy Limited,Gladstone Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,Y,GSTONE2
CS Energy Limited,Gladstone Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,Y,GSTONE3
CS Energy Limited,Gladstone Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,Y,GSTONE4
CS Energy Limited,Gladstone Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,5,Y,GSTONE5
CS Energy Limited,Gladstone Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,6,Y,GSTONE6
AGL Hydro Partnership,Glenbawn Hydro Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,GLBWNHYD
Pacific Hydro Investments Pty Ltd,Glenmaggie Hydro Power Station,VIC1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,N,GLENMAG1
EDL (OCI) Pty Limited,Glennies Creek Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,1-Dec,Y,GLENNCRK
Glenrowan Solar Farm Pty Ltd as trustee for Glenrowan Solar Farm Trust,Glenrowan Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-30,N,GLENSF1
Wirtgen Energy Glenrowan Pty Ltd,Glenrowan West Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-48,Y,GLRWNSF1
Golden Plains WF1 Pty Ltd as Trustee for the Golden Plains WF1 Unit Trust,Golden Plains Wind Farm East,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-40,Y,GPWFEST1
Golden Plains WF1 Pty Ltd as Trustee for the Golden Plains WF1 Unit Trust,Golden Plains Wind Farm East,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,41-82,Y,GPWFEST2
Golden Plains WF1 Pty Ltd as Trustee for the Golden Plains WF1 Unit Trust,Golden Plains Wind Farm East,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,83-122,Y,GPWFEST3
Goonumbla Asset Co Pty Ltd as the Trustee for Goonumbla Asset Trust ,Goonumbla Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-31,Y,GOONSF1
Hydro-Electric Corporation,Gordon Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Mar,Y,GORDON
Goyder Wind Farm 1 Pty Ltd as the Trustee for Goyder Wind Farm 1 Trust,Goyder South Wind Farm 1A,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-38,N,GSWF1A
Goyder Wind Farm 1B Pty Ltd as the Trustee for the Goyder Wind Farm 1B Trust,Goyder South Wind Farm 1B,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-37,N,GSWF1B1
EDL LFG (NSW) Pty Ltd,Grange Avenue Landfill Gas Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,N,GRANGEAV
Granville Harbour Operations Pty Ltd as The Trustee for Granville Harbour Operations Trust,Granville Harbour Wind Farm,TAS1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-31,Y,GRANWF1
EnergyAustralia Pty Ltd,Riverena Energy Storage System 2,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-52,Y,RIVNB2
Griffith Solar Farm Pty Ltd,Griffith Solar Farm,NSW1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Dec,Y,GRIFSF1
EDL Projects (Australia) Pty Ltd,Grosvenor 1 Waste Coal Mine Gas Power Station,QLD1,Generating Unit,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-Jul,Y,GROSV1
EDL Projects (Australia) Pty Ltd,Grosvenor 2,QLD1,Generating Unit,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-May,Y,GROSV2
New Gullen Range Wind Farm Pty Ltd,Gullen Range Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-Apr,Y,GULLRSF1
New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-73,N,GULLRWF1
New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,74-104,Y,GULLRWF2
Gunnedah SF Pty Ltd as Trustee for Gunnedah Asset Trust,Gunnedah Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-90,Y,GNNDHSF1
Gunning Wind Energy Developments Pty Ltd,Gunning Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-31,N,GUNNING1
Snowy Hydro Limited,Guthega Power Station,NSW1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,Y,GUTHEGA
LMS Energy Pty Ltd,Hallam Road Renewable Energy Facility,VIC1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Aug,N,HALAMRD1
AGL SA Generation Pty Limited,Hallett 1 Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-45,N,HALLWF1
AGL SA Generation Pty Limited,Hallett 2 Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-34,N,HALLWF2
EnergyAustralia Yallourn Pty Ltd,Hallett Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),Jan-13,Y,AGLHAL
Hamilton Solar Farm Pty Ltd,Hamilton Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,,Y,HAMISF1
Equis Energy (Australia) Projects (MREH A1 AssetCo) Pty Ltd as trustee for Equis Energy (Australia) MREH A1 Asset Trust,Melbourne Renewable Energy Hub Connection A1,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-112,Y,MREHA1
South Australian Water Corporation,Happy Valley Water Treatment Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Apr,Y,HVWWPV1
Progressive Green Pty Ltd,Hastings Generation Site,VIC1,Generating Unit,Market,Non-Scheduled,Fossil,Ethane,Combustion,Open Cycle Gas turbines (OCGT),1,N,"HASTING1
"
Progressive Green Pty Ltd,Hastings Generation Site,VIC1,Generating Unit,Market,Non-Scheduled,Fossil,Ethane,Combustion,Open Cycle Gas turbines (OCGT),2,N,"HASTING2
"
Progressive Green Pty Ltd,Hastings Generation Site,VIC1,Generating Unit,Market,Non-Scheduled,Fossil,Ethane,Combustion,Open Cycle Gas turbines (OCGT),3,N,HASTING3
Pacific Hydro Haughton Solar Farm Pty Ltd,Haughton Solar Farm Stage 1,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-81,Y,HAUGHT11
Hawkesdale Asset Pty Ltd as trustee for Hawkesdale Asset Trust,Hawkesdale Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1–23 ,N,HD1WF1
Hayman Solar Farm Pty Ltd As The Trustee For The Hayman Solar Farm Trust,Hayman Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-21,Y,HAYMSF1
Equis Energy (Australia) Projects (MREH A2 AssetCo) Pty Ltd as The Trustee for Equis Energy (Australia) MREH A2 Asset Trust ,Melbourne Renewable Energy Hub Connection A2,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-112,Y,MREHA2
Progressive Green Pty Ltd,Hepburn Community Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1 & 2,N,HEPWIND1
Hillston Sun Farm Operations Pty Ltd ATF Hillston Sun Farm Operations Trust,Hillston Sun Farm ,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-40,Y,HILLSTN1
Hazelwood BESS Project Co Pty Ltd as Trustee for the HBESS Asset Trust,Hazelwood Battery Energy Storage System,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-57,Y,HBESS1
HWF1 Pty Ltd,Hornsdale Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-32,Y,HDWF1
HWF 2 Pty Ltd,Hornsdale Wind Farm 2,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-32,Y,HDWF2
HWF3 Pty Ltd,Hornsdale Wind Farm 3,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,Y,HDWF3
Hughenden Solar Pty Limited As Trustee For Hughenden Solar Trust,Hughenden Solar Farm,QLD1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-18,Y,HUGSF1
GSP Energy Pty Ltd,Hume (NSW) Hydro Power Station,NSW1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,Y,HUMENSW
GSP Energy Pty Ltd,Hume (Vic) Hydro Power Station,VIC1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,Y,HUMEV
Snowy Hydro Limited,Hunter Economic Zone,NSW1,Generating Unit,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Jan-16,N,HEZ1
Snowy Hydro Limited,Hunter Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natrual Gas/ Diesel,Combustion,OCGT,1,N,HUNTER1 
Snowy Hydro Limited,Hunter Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natrual Gas/ Diesel,Combustion,OCGT,2,N,HUNTER2
Stanwell Corporation Limited,Invicta Sugar Mill,QLD1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1-Mar,N,INVICTA
Moranbah Power Station No1 Pty Ltd,ISIS Central Sugar Mill Co-generation Plant,QLD1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,N,ICSM
EDL LFG (NSW) Pty Ltd,Jacks Gully Landfill Gas Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-Feb,N,JACKSGUL
EnergyAustralia Ecogen Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,JLA01
EnergyAustralia Ecogen Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,JLA02
EnergyAustralia Ecogen Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,Y,JLA03
EnergyAustralia Ecogen Pty Ltd,"Jeeralang ""A"" Power Station",VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,Y,JLA04
EnergyAustralia Ecogen Pty Ltd,"Jeeralang ""B"" Power Station",VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,JLB01
EnergyAustralia Ecogen Pty Ltd,"Jeeralang ""B"" Power Station",VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,JLB02
EnergyAustralia Ecogen Pty Ltd,"Jeeralang ""B"" Power Station",VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,Y,JLB03
Diamond Energy Pty Ltd,Jemalong Solar Project,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-20,Y,JEMALNG1
Snowy Hydro Limited,Jindabyne Pump At Guthega  ,VIC1,Generating Unit,Non-Market,Non-Scheduled,,,,,1,N,-
Snowy Hydro Limited,Jindabyne Small Hydro Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,JNDABNE1
Hydro-Electric Corporation,John Butters Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,Y,JBUTTERS
Snowy Hydro Limited,Jounama Small Hydro Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,JOUNAMA1
Junee Operationsco Pty Ltd Atf Junee Operations Trust,Junee Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-22,Y,JUNEESF1
Kaban Wind Farm Pty Ltd as trustee for Kaban Wind Farm Trust,Kaban Wind Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-28,Y,KABANWF1
Iraak Sun Farm Pty Ltd,Karadoc Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-38,Y,KARSF1
CleanCo Queensland Limited,Kareeya Power Station,QLD1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Run of River,1,Y,KAREEYA1
CleanCo Queensland Limited,Kareeya Power Station,QLD1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Run of River,2,Y,KAREEYA2
CleanCo Queensland Limited,Kareeya Power Station,QLD1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Run of River,3,Y,KAREEYA3
CleanCo Queensland Limited,Kareeya Power Station,QLD1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Run of River,4,Y,KAREEYA4
CleanCo Queensland Limited,Kareeya Power Station,QLD1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,5,N,KAREEYA5
GSP Energy Pty Ltd,Keepit Hydro Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,KEEPIT
Kennedy Energy Park Pty Ltd,Kennedy Energy Park,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jun,Y,KEPSF1
Kennedy Energy Park Pty Ltd,Kennedy Energy Park,QLD1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Dec,Y,KEPWF1
Kennedy Energy Park Pty Ltd,Kennedy Energy Park Battery,QLD1,Generating Unit,Market,Non-Scheduled,Battery storage,Grid,Storage,Battery,1-Apr,Y,KEPBG1
Kennedy Energy Park Pty Ltd,Kennedy Energy Park Battery,QLD1,Load,Market,Non-Scheduled,Battery storage,Grid,Storage,Battery,1-Apr,Y,KEPBL1
Kerang Solar Plant Pty Ltd,Kerang Solar Plant,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-Sep,Y,KERNGSP1
KSF Project Nominees Pty Ltd As The Trustee For KSF Project Trust,Kiamal Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-150,Y,KIAMSF1
Kiata ProjectCo Pty Ltd Atf Kiata Project Trust,Kiata Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Sep,N,KIATAWF1
Diamond Energy Pty Ltd,Kidston Solar Project Phase One,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-20,Y,KSP1
Kingaroy Propertyco Pty Ltd as Trustee for Kingaroy Property Trust,Kingaroy Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-29,N,KINGASF1
CS Energy Limited,Kogan Creek Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,1,Y,KPP_1
Hornsdale Power Reserve Pty Ltd,Hornsdale Power Reserve,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Wind,Storage,Battery and Inverter,1-294,N,HPR1
Origin Energy Electricity Limited,Ladbroke Grove Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,LADBROK1
Origin Energy Electricity Limited,Ladbroke Grove Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,LADBROK2
Iberdrola Australia Wallgrove Pty Limited,Wallgrove BESS 1,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-36,Y,WALGRV1
Lake Bonney Wind Power Pty Ltd,Lake Bonney Stage 2 Windfarm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-53,N,LKBONNY2
Lake Bonney Wind Power Pty Ltd,Lake Bonney Stage 3 Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-13,N,LKBONNY3
Lake Bonney Wind Power Pty Ltd,Lake Bonney Wind Farm Stage 1,SA1,Generating Unit,Market,Non-Scheduled*,Wind,Wind,Renewable,Wind - Onshore,Jan-46,Y,LKBONNY1
Hydro-Electric Corporation,Lake Echo Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,Y,LK_ECHO
Lake Bonney Wind Power Pty Ltd,Lake Bonney BESS1,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,Jan-48,Y,LBB1
Snowy Hydro Limited,Laverton North Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,LNGS1
Snowy Hydro Limited,Laverton North Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,LNGS2
Hydro-Electric Corporation,Lemonthyme / Wilmot Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,Y,LEM_WIL
Ergon Energy Queensland Pty Ltd ,Lilyvale Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-74,Y,LILYSF1
Limondale Sun Farm Pty Ltd,Limondale Solar Farm 1,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-100,Y,LIMOSF11
Limondale Sun Farm Pty Ltd,Limondale Solar Farm 2,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-14,Y,LIMOSF21
Lincoln Gap Wind Farm (Operations) Pty Ltd,Lincoln Gap Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,Y,LGAPWF1
Lincoln Gap Wind Farm (Operations) Pty Ltd,Lincoln Gap Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,36-59,Y,LGAPWF2
Diamond Energy Pty Ltd,Longreach Solar Farm,QLD1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jul,Y,LRSF1
Snowy Hydro Limited,Lonsdale Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Jan-18,Y,LONSDALE
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,Y,LYA1
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,Y,LYA2
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,3,Y,LYA3
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,4,Y,LYA4
Alinta Energy Retail Sales Pty Ltd,Loy Yang B Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,Y,LOYYB1
Alinta Energy Retail Sales Pty Ltd,Loy Yang B Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,Y,LOYYB2
EDL LFG (NSW) Pty Ltd,Lucas Heights 2 Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,Dec-15,N,LUCAS2S2
EDL LFG (NSW) Pty Ltd,Lucas Heights 2 Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Nov,N,LUCASHGT
