Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID
Synergen Power Pty Limited,Snuggery Power Station,SA1,Generating Unit,Non-Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1,N,SNUG2
Synergen Power Pty Limited,Snuggery Power Station,SA1,Generating Unit,Non-Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1,N,SNUG3
Synergen Power Pty Limited,Snuggery Power Station,SA1,Generating Unit,Non-Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1,N,SNUGNL1
AGL Hydro Partnership,Somerton Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-Apr,Y,AGLSOM
Progressive Green Pty Ltd,South East Water - Halllam Hydro Plant,VIC1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,HLMSEW01
Dubbo Solar Hub Pty Ltd,South Keswick Solar Farm,NSW1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jun,N,SKSF1
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,Y,STAN-1
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,Y,STAN-2
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,Y,STAN-3
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,Y,STAN-4
LMS Energy Pty Ltd,Stapylton Renewable Energy Facility,QLD1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Apr,N,STAPYLTON1
